PT_ID;VAR1;VAR2;VAR3
46000355;0.885;0;0.885
46000356;0.752;0;0.752
46000357;0.848;0;0.848
46000362;0.645;0;0.645
46000363;0.669;0;0.669
46000412;0.607;0;0.607
46001355;0.55;0;0.55
46001356;0.979;0;0.979
46001357;0.882;0;0.882
46001362;0.562;0;0.562
46001411;0.378;0;0.378
46001412;0.434;0;0.434
46002355;0.955;0;0.955
46002357;0.766;0;0.766
46002360;1.0;0;1.0
46002361;0.616;0;0.616
46002411;0.884;0;0.884
46003355;0.854;0;0.854
46003357;0.921;0;0.921
46003358;0.755;0;0.755
46003359;0.699;0;0.699
46003360;0.705;0;0.705
46003405;0.68;0;0.68
46004355;0.723;0;0.723
46004358;1.0;0;1.0
46004359;0.771;0;0.771
46004404;1.0;0;1.0
46004405;1.0;0;1.0
46005355;0.702;0;0.702
46005402;0.848;0;0.848
46005404;0.652;0;0.652
46005405;1.0;0;1.0
46005406;0.84;0;0.84
46006355;0.611;0;0.611
46006356;1.0;0;1.0
46006401;0.47;0;0.47
46006405;1.0;0;1.0
46006406;1.0;0;1.0
46007356;0.894;0;0.894
46007357;0.553;0;0.553
46007358;1.0;0;1.0
46007405;1.0;0;1.0
46008358;0.782;0;0.782
46008359;0.51;0;0.51
46008360;0.761;0;0.761
46008405;1.0;0;1.0
46009360;1.0;0;1.0
46009361;0.617;0;0.617
46009404;0.664;0;0.664
46010361;1.0;0;1.0
46010362;0.811;0;0.811
46010402;0.481;0;0.481
46010403;0.751;0;0.751
46011362;0.462;0;0.462
46011363;1.0;0;1.0
46012362;1.0;0;1.0
46012363;0.569;0;0.569
46012365;0.464;0;0.464
46012396;0.378;0;0.378
46013363;0.593;0;0.593
46013364;1.0;0;1.0
46013366;1.0;0;1.0
46013396;0.944;0;0.944
46013397;0.6;0;0.6
46013398;0.351;0;0.351
46013400;0.838;0;0.838
46014364;0.491;0;0.491
46014398;0.976;0;0.976
46014399;0.362;0;0.362
46015364;0.441;0;0.441
46015365;0.729;0;0.729
46016364;0.531;0;0.531
46016365;0.931;0;0.931
46017363;1.0;0;1.0
46017364;0.515;0;0.515
46018363;0.659;0;0.659
46019363;0.617;0;0.617
46019364;1.0;0;1.0
46019384;0.601;0;0.601
46019390;1.0;0;1.0
46019391;0.731;0;0.731
46019486;1.0;0;1.0
46020365;0.673;0;0.673
46020366;0.603;0;0.603
46020384;0.392;0;0.392
46020386;0.521;0;0.521
46020389;1.0;0;1.0
46020390;1.0;0;1.0
46020391;1.0;0;1.0
46021366;0.425;0;0.425
46021367;0.415;0;0.415
46021388;0.666;0;0.666
46021389;0.605;0;0.605
46021390;0.607;0;0.607
46021391;0.932;0;0.932
46021392;1.0;0;1.0
46022367;0.54;0;0.54
46022368;0.447;0;0.447
46022388;0.914;0;0.914
46022389;0.765;0;0.765
46022390;0.597;0;0.597
46022391;0.608;0;0.608
46022392;1.0;0;1.0
46023368;0.593;0;0.593
46023387;0.752;0;0.752
46023388;0.765;0;0.765
46023389;0.903;0;0.903
46023390;1.0;0;1.0
46023391;0.645;0;0.645
46023392;1.0;0;1.0
46024367;0.529;0;0.529
46024381;0.416;0;0.416
46024390;0.556;0;0.556
46024391;1.0;0;1.0
46025366;1.0;0;1.0
46025367;0.519;0;0.519
46025380;0.958;0;0.958
46025381;1.0;0;1.0
46025382;1.0;0;1.0
46025383;0.507;0;0.507
46025384;0.341;0;0.341
46026366;1.0;0;1.0
46026367;0.752;0;0.752
46026379;1.0;0;1.0
46026380;0.908;0;0.908
46026381;0.934;0;0.934
46026382;1.0;0;1.0
46026383;1.0;0;1.0
46026384;1.0;0;1.0
46027366;0.552;0;0.552
46027367;0.576;0;0.576
46027379;1.0;0;1.0
46027380;1.0;0;1.0
46027381;0.959;0;0.959
46027382;0.94;0;0.94
46027383;1.0;0;1.0
46027384;1.0;0;1.0
46027386;0.709;0;0.709
46028367;0.579;0;0.579
46028382;0.967;0;0.967
46028383;0.66;0;0.66
46028385;0.345;0;0.345
46028386;0.909;0;0.909
46029367;0.435;0;0.435
46029382;0.969;0;0.969
46029387;0.972;0;0.972
46030370;1.0;0;1.0
46037380;1.0;0;1.0
46037381;1.0;0;1.0
46038377;0.339;0;0.339
46039377;0.961;0;0.961
46039378;0.954;0;0.954
46039379;1.0;0;1.0
46039380;1.0;0;1.0
46039381;1.0;0;1.0
46040378;0.359;0;0.359
46040379;1.0;0;1.0
46040380;1.0;0;1.0
46041380;1.0;0;1.0
46046376;0.941;0;0.941
46046377;1.0;0;1.0
46047376;1.0;0;1.0
46047377;0.878;0;0.878
46047378;0.888;0;0.888
46047379;0.875;0;0.875
46048376;1.0;0;1.0
46048377;0.852;0;0.852
46048378;0.886;0;0.886
46048380;0.423;0;0.423
46048382;0.516;0;0.516
46049376;1.0;0;1.0
46049377;1.0;0;1.0
46049378;1.0;0;1.0
46049379;0.979;0;0.979
46049380;1.0;0;1.0
46050376;0.978;0;0.978
46050377;1.0;0;1.0
46050378;1.0;0;1.0
46050379;1.0;0;1.0
46050380;1.0;0;1.0
46051376;1.0;0;1.0
46051377;0.953;0;0.953
46051378;1.0;0;1.0
46051379;0.89;0;0.89
46051380;1.0;0;1.0
46051381;1.0;0;1.0
46051382;0.917;0;0.917
46052375;0.739;0;0.739
46052376;1.0;0;1.0
46052377;1.0;0;1.0
46052378;1.0;0;1.0
46052379;0.932;0;0.932
46052380;0.956;0;0.956
46052381;0.956;0;0.956
46052382;1.0;0;1.0
46053375;1.0;0;1.0
46053379;0.922;0;0.922
46053380;0.864;0;0.864
46053381;0.903;0;0.903
46053382;1.0;0;1.0
46054375;1.0;0;1.0
46054376;0.57;0;0.57
46054379;0.829;0;0.829
46054380;1.0;0;1.0
46054381;0.868;0;0.868
46055379;0.391;0;0.391
46056375;0.541;0;0.541
46058379;0.426;0;0.426
46059378;0.399;0;0.399
46059379;0.483;0;0.483
46060375;1.0;0;1.0
46060376;0.921;0;0.921
46060378;0.688;0;0.688
46068379;0.553;0;0.553
46068380;0.913;0;0.913
46068381;1.0;0;1.0
46068382;0.923;0;0.923
46069379;1.0;0;1.0
46069380;1.0;0;1.0
46069381;1.0;0;1.0
46069382;1.0;0;1.0
46070379;1.0;0;1.0
46070380;1.0;0;1.0
46070381;0.974;0;0.974
