PT_ID;VAR1;VAR2;VAR3
43002610;1.0;1;0.0
43003610;1.0;1;0.0
43036504;0.977;1;0.0
43039503;0.413;1;0.0
43040397;0.575;1;0.0
43043502;1.0;1;0.0
43044502;1.0;1;0.0
43045502;0.398;1;0.0
43048408;1.0;1;0.0
43049501;0.744;1;0.0
43052500;0.492;1;0.0
43059416;0.806;1;0.0
43060416;0.629;1;0.0
43060438;1.0;1;0.0
43061454;0.709;1;0.0
43062455;0.708;1;0.0
43062456;1.0;1;0.0
43213503;0.645;1;0.0
43233416;0.398;1;0.0
43234416;0.706;1;0.0
43236417;0.653;1;0.0
43239418;0.731;1;0.0
43242419;0.489;1;0.0
43242443;0.999;1;0.0
43243423;0.68;1;0.0
43243424;0.72;1;0.0
43244426;0.366;1;0.0
43247427;0.64;1;0.0
43247446;0.912;1;0.0
43248439;0.521;1;0.0
43248441;0.644;1;0.0
43249425;1.0;1;0.0
43249438;0.487;1;0.0
43249447;0.653;1;0.0
43250425;0.71;1;0.0
43250429;1.0;1;0.0
43250439;0.383;1;0.0
43250443;0.696;1;0.0
43251426;0.681;1;0.0
43251427;0.817;1;0.0
43251445;1.0;1;0.0
43251518;0.371;1;0.0
43252428;1.0;1;0.0
43252448;0.559;1;0.0
43253434;1.0;1;0.0
43253447;1.0;1;0.0
43253453;0.384;1;0.0
43253454;0.878;1;0.0
43254431;0.605;1;0.0
43254446;1.0;1;0.0
43254449;0.901;1;0.0
43254452;0.355;1;0.0
43254453;0.742;1;0.0
43254455;1.0;1;0.0
43255445;1.0;1;0.0
43255446;0.333;1;0.0
43255450;1.0;1;0.0
43256446;0.532;1;0.0
43257447;0.875;1;0.0
43297503;0.671;1;0.0
43322534;1.0;1;0.0
43323534;0.937;1;0.0
43390494;0.871;1;0.0
43486572;1.0;1;0.0
43487575;0.708;1;0.0
43488574;0.55;1;0.0
43488575;0.817;1;0.0
43488576;0.993;1;0.0
43489572;1.0;1;0.0
43489573;1.0;1;0.0
