PT_ID;VAR1;VAR2;VAR3
45516522;0.898;1;0.0
45520520;0.928;1;0.0
45521520;1.0;1;0.0
45523519;0.466;1;0.0
45560481;0.905;1;0.0
45900459;0.481;1;0.0
45932450;0.391;1;0.0
45935448;1.0;1;0.0
45937447;0.382;1;0.0
45939445;0.477;1;0.0
45940453;0.352;1;0.0
45942441;1.0;1;0.0
45943440;0.971;1;0.0
45944439;0.875;1;0.0
45944455;0.891;1;0.0
45945448;0.644;1;0.0
45950440;0.481;1;0.0
45951440;0.515;1;0.0
45957428;0.509;1;0.0
45959424;1.0;1;0.0
45960422;0.389;1;0.0
45960424;0.41;1;0.0
45960425;0.744;1;0.0
45964417;0.71;1;0.0
45965419;1.0;1;0.0
45966310;1.0;1;0.0
45966417;0.536;1;0.0
45967310;1.0;1;0.0
45967415;1.0;1;0.0
45967416;0.632;1;0.0
45969411;1.0;1;0.0
45969412;0.655;1;0.0
45969413;1.0;1;0.0
45969414;1.0;1;0.0
45970411;1.0;1;0.0
45970412;0.849;1;0.0
45970413;1.0;1;0.0
45971408;0.549;1;0.0
45971409;0.399;1;0.0
45971410;0.571;1;0.0
45971411;1.0;1;0.0
45972411;0.682;1;0.0
45973315;0.429;1;0.0
45973405;1.0;1;0.0
45973406;0.859;1;0.0
45974395;1.0;1;0.0
45974405;0.701;1;0.0
45974406;1.0;1;0.0
45974407;0.968;1;0.0
45974408;0.756;1;0.0
45975317;1.0;1;0.0
45975394;1.0;1;0.0
45975404;0.852;1;0.0
45975405;0.803;1;0.0
45975406;0.743;1;0.0
45975407;0.652;1;0.0
45975408;1.0;1;0.0
45976393;0.82;1;0.0
45976405;0.804;1;0.0
45976406;0.792;1;0.0
45976407;0.584;1;0.0
45977318;0.725;1;0.0
45977405;0.954;1;0.0
45977406;0.828;1;0.0
45978405;1.0;1;0.0
45979405;1.0;1;0.0
45980320;1.0;1;0.0
45983394;0.81;1;0.0
45983395;0.714;1;0.0
45983396;1.0;1;0.0
45984393;0.464;1;0.0
45984394;0.477;1;0.0
45984395;0.514;1;0.0
45984396;0.746;1;0.0
45985393;0.505;1;0.0
45985394;0.467;1;0.0
45985395;0.455;1;0.0
45985396;0.506;1;0.0
45985397;0.962;1;0.0
45986330;0.512;1;0.0
45986393;0.599;1;0.0
45986394;0.618;1;0.0
45986395;0.574;1;0.0
45986396;0.463;1;0.0
45986397;1.0;1;0.0
45987393;0.908;1;0.0
45987394;0.68;1;0.0
45987395;0.563;1;0.0
45987396;0.619;1;0.0
45987397;1.0;1;0.0
45988331;1.0;1;0.0
45988332;1.0;1;0.0
45990386;0.341;1;0.0
45990387;0.904;1;0.0
45991378;0.476;1;0.0
45991387;0.621;1;0.0
45991388;0.911;1;0.0
45992377;1.0;1;0.0
45992378;1.0;1;0.0
45992387;0.34;1;0.0
45992388;0.785;1;0.0
45992389;0.883;1;0.0
45992390;0.908;1;0.0
45992391;1.0;1;0.0
45993327;0.367;1;0.0
45993388;0.465;1;0.0
45993389;0.636;1;0.0
45993390;0.808;1;0.0
45993392;0.467;1;0.0
45994328;1.0;1;0.0
45994376;0.938;1;0.0
45994388;0.354;1;0.0
45994391;0.539;1;0.0
45995331;1.0;1;0.0
45995378;1.0;1;0.0
45995379;1.0;1;0.0
45995390;0.849;1;0.0
45996327;0.999;1;0.0
45996379;1.0;1;0.0
45997326;1.0;1;0.0
45997332;0.828;1;0.0
45999331;1.0;1;0.0
