PT_ID;VAR1;VAR2;VAR3
42008479;1.0;0;1.0
42009480;0.742;0;0.742
42009481;1.0;0;1.0
42010482;1.0;0;1.0
42011482;1.0;0;1.0
42012481;1.0;0;1.0
42077504;0.751;1;0.0
42078504;0.835;1;0.0
42106511;1.0;0;1.0
42107511;0.611;0;0.611
42126475;0.767;1;0.0
42127518;1.0;0;1.0
42130477;1.0;0;1.0
42130478;0.765;1;0.0
42131477;1.0;0;1.0
42131479;1.0;0;1.0
42131480;1.0;0;1.0
42131481;0.506;0;0.506
42131484;0.821;0;0.821
42132476;1.0;0;1.0
42132477;0.603;1;0.0
42132478;0.754;0;0.754
42132480;0.362;0;0.362
42132484;0.351;1;0.0
42133479;1.0;0;1.0
42134485;0.599;0;0.599
42137484;1.0;0;1.0
42137487;1.0;0;1.0
42139483;0.361;0;0.361
42139484;0.334;0;0.334
42140482;0.406;0;0.406
42141485;0.614;0;0.614
42142481;0.743;0;0.743
42191517;0.73;0;0.73
42205548;0.678;0;0.678
42239561;0.494;0;0.494
42254567;1.0;0;1.0
42264570;0.529;0;0.529
42271572;0.489;1;0.0
42272572;1.0;0;1.0
42288576;0.431;0;0.431
42296579;0.559;0;0.559
42331561;0.396;0;0.396
42337562;0.361;0;0.361
42342589;1.0;0;1.0
42345564;1.0;0;1.0
42354566;0.742;0;0.742
42356592;0.764;0;0.764
42363593;0.806;0;0.806
42370595;1.0;0;1.0
42381599;0.371;0;0.371
42386600;0.936;0;0.936
42387600;0.616;1;0.0
42395603;1.0;0;1.0
42407606;0.413;0;0.413
42408606;0.952;0;0.952
42411606;0.455;0;0.455
42414607;0.884;0;0.884
42420609;1.0;0;1.0
42421609;0.379;1;0.0
42422609;1.0;0;1.0
42435610;1.0;0;1.0
42449620;1.0;0;1.0
42449621;0.891;0;0.891
42450622;1.0;0;1.0
42452619;0.907;0;0.907
42452622;1.0;0;1.0
42461627;0.548;1;0.0
42498613;1.0;0;1.0
42512617;0.884;0;0.884
42519619;1.0;0;1.0
42541623;0.42;1;0.0
42551624;0.375;0;0.375
42588628;0.755;0;0.755
42588631;0.82;0;0.82
42589599;1.0;0;1.0
42589640;1.0;0;1.0
42590640;0.803;0;0.803
42591633;1.0;0;1.0
42591634;0.796;0;0.796
42591635;0.815;0;0.815
42596621;0.994;0;0.994
42609589;1.0;0;1.0
42610590;0.732;0;0.732
42612598;1.0;0;1.0
42623598;1.0;0;1.0
42624622;0.872;0;0.872
42626622;1.0;0;1.0
42636598;1.0;0;1.0
42637598;1.0;0;1.0
42638598;0.979;0;0.979
42641598;1.0;0;1.0
42641623;0.829;0;0.829
42646598;0.547;0;0.547
42647598;0.376;0;0.376
42661624;1.0;0;1.0
42683600;0.503;0;0.503
42697601;0.494;0;0.494
42698601;1.0;0;1.0
42704602;1.0;0;1.0
42706602;1.0;0;1.0
42722632;0.501;0;0.501
42726633;1.0;0;1.0
42727633;0.856;0;0.856
42737633;1.0;0;1.0
42738633;0.604;0;0.604
42742634;0.68;0;0.68
42744635;0.99;0;0.99
42746635;1.0;0;1.0
42756636;0.373;0;0.373
42757636;0.984;0;0.984
42758636;0.76;0;0.76
42766636;1.0;0;1.0
42854635;1.0;0;1.0
42855635;0.761;0;0.761
42862634;0.966;0;0.966
42869632;0.995;0;0.995
42869633;0.439;1;0.0
42871632;0.412;0;0.412
42872632;1.0;0;1.0
42874631;1.0;0;1.0
42875631;1.0;0;1.0
42916616;1.0;0;1.0
42918615;1.0;0;1.0
42923414;1.0;0;1.0
42923587;1.0;0;1.0
42924414;1.0;0;1.0
42924416;1.0;0;1.0
42925415;0.473;0;0.473
42927418;0.368;0;0.368
42935605;1.0;0;1.0
42937604;0.731;0;0.731
42938605;1.0;0;1.0
42939607;0.867;0;0.867
42940607;0.724;0;0.724
42940608;0.446;0;0.446
42943407;0.463;0;0.463
42943427;1.0;0;1.0
42944428;1.0;0;1.0
42946429;0.526;0;0.526
42947429;1.0;0;1.0
42948429;1.0;0;1.0
42949429;1.0;0;1.0
42950429;0.953;0;0.953
42953618;1.0;0;1.0
42955428;0.535;0;0.535
42956623;0.735;0;0.735
42957420;1.0;0;1.0
42958418;1.0;0;1.0
42958621;1.0;0;1.0
42959417;0.657;0;0.657
42960416;1.0;0;1.0
42960417;1.0;0;1.0
42960583;0.349;1;0.0
42961626;1.0;0;1.0
42962418;1.0;0;1.0
42966629;0.824;0;0.824
42968630;0.781;0;0.781
42972632;1.0;0;1.0
42974633;0.996;0;0.996
42976634;0.638;0;0.638
42978635;1.0;0;1.0
42982636;1.0;0;1.0
42985636;1.0;0;1.0
