PT_ID;VAR1;VAR2;VAR3
44028346;0.935;1;0.0
44029346;0.681;1;0.0
44036257;0.74;1;0.0
44037256;0.981;1;0.0
44038253;1.0;1;0.0
44038254;0.614;1;0.0
44071345;0.676;1;0.0
44072345;0.818;1;0.0
44073345;0.622;1;0.0
44074345;1.0;1;0.0
44088344;0.693;1;0.0
44093344;1.0;1;0.0
44120343;1.0;1;0.0
44174350;1.0;1;0.0
44201358;0.898;1;0.0
44206360;0.477;1;0.0
44213363;0.639;1;0.0
44252377;0.832;1;0.0
44266380;1.0;1;0.0
44271382;1.0;1;0.0
44310361;0.115;1;0.0
44320396;0.894;1;0.0
44323397;1.0;1;0.0
44326398;1.0;1;0.0
44355405;0.383;1;0.0
44358406;0.41;1;0.0
44361407;1.0;1;0.0
44362407;1.0;1;0.0
44366408;0.869;1;0.0
44378412;1.0;1;0.0
44385345;0.333;1;0.0
44388346;0.333;1;0.0
44390347;0.637;1;0.0
44390348;0.874;1;0.0
44392342;1.0;1;0.0
44392350;0.545;1;0.0
44393351;0.333;1;0.0
44397354;0.911;1;0.0
44398355;0.119;1;0.0
44401358;0.83;1;0.0
44401359;0.837;1;0.0
44402359;1.0;1;0.0
44402360;0.178;1;0.0
44403361;1.0;1;0.0
44405363;0.857;1;0.0
44440449;0.616;1;0.0
44452458;1.0;1;0.0
44480421;1.0;1;0.0
44493437;0.579;1;0.0
44521515;1.0;1;0.0
44524517;0.423;1;0.0
44525518;0.931;1;0.0
44533472;1.0;1;0.0
44538527;1.0;1;0.0
44545480;1.0;1;0.0
44546480;1.0;1;0.0
44549482;1.0;1;0.0
44552482;1.0;1;0.0
44552483;1.0;1;0.0
44553482;0.943;1;0.0
44554484;1.0;1;0.0
44555485;0.864;1;0.0
44560539;0.825;1;0.0
44562486;1.0;1;0.0
44562487;0.421;1;0.0
44563487;0.669;1;0.0
44564487;0.821;1;0.0
44565487;1.0;1;0.0
44565488;0.151;1;0.0
44566488;0.807;1;0.0
44567542;0.871;1;0.0
44568489;0.837;1;0.0
44570490;1.0;1;0.0
44575492;1.0;1;0.0
44578493;1.0;1;0.0
44579493;0.156;1;0.0
44580493;0.501;1;0.0
44581494;1.0;1;0.0
44582494;1.0;1;0.0
44589497;0.742;1;0.0
44590497;0.712;1;0.0
44591497;1.0;1;0.0
44592498;0.644;1;0.0
44593498;0.527;1;0.0
44594498;0.404;1;0.0
44595499;0.707;1;0.0
44597500;1.0;1;0.0
44600502;1.0;1;0.0
44602503;1.0;1;0.0
44604504;0.784;1;0.0
44606505;0.631;1;0.0
44607506;0.808;1;0.0
44608507;0.488;1;0.0
44610557;1.0;1;0.0
44616512;0.968;1;0.0
44622517;1.0;1;0.0
44638566;0.636;1;0.0
44693594;1.0;1;0.0
44728608;0.679;1;0.0
44730556;0.631;1;0.0
44736610;0.609;1;0.0
44757570;1.0;1;0.0
44773621;0.367;1;0.0
44778623;1.0;1;0.0
44779624;0.932;1;0.0
44782625;0.204;1;0.0
44815641;0.413;1;0.0
44816641;1.0;1;0.0
44817641;0.952;1;0.0
44820643;1.0;1;0.0
44833647;0.804;1;0.0
44837648;0.722;1;0.0
44854650;0.937;1;0.0
44855650;1.0;1;0.0
44856650;1.0;1;0.0
44878610;0.545;1;0.0
44879610;1.0;1;0.0
44879653;1.0;1;0.0
44880613;1.0;1;0.0
44887654;1.0;1;0.0
44888654;0.857;1;0.0
44917658;1.0;1;0.0
44954669;0.19;1;0.0
44954670;0.901;1;0.0
44955637;0.662;1;0.0
44959671;1.0;1;0.0
44960672;0.851;1;0.0
44963673;1.0;1;0.0
44967640;1.0;1;0.0
44972676;1.0;1;0.0
44976677;0.427;1;0.0
44977677;0.352;1;0.0
44982678;1.0;1;0.0
