PT_ID;VAR1;VAR2;VAR3
42010479;0.22;0;0.22
42010480;1.0;0;1.0
42010481;0.7;0;0.7
42011480;0.264;0;0.264
42011481;0.5;0;0.5
42012480;0.287;0;0.287
42129491;0.733;0;0.733
42131478;0.333;0;0.333
42132479;0.976;0;0.976
42132481;0.792;0;0.792
42133485;0.407;0;0.407
42137489;0.554;0;0.554
42137490;0.69;0;0.69
42138484;0.349;0;0.349
42138487;0.602;0;0.602
42139487;0.731;0;0.731
42140523;1.0;0;1.0
42141484;0.48;0;0.48
42142482;0.8;0;0.8
42143524;0.333;0;0.333
42146498;1.0;0;1.0
42159530;1.0;0;1.0
42160530;0.113;0;0.113
42162531;0.624;0;0.624
42163531;0.661;0;0.661
42165506;0.331;0;0.331
42165532;0.773;0;0.773
42166532;0.413;0;0.413
42191543;0.622;0;0.622
42192518;1.0;0;1.0
42210550;0.664;0;0.664
42219552;0.333;0;0.333
42228557;0.587;0;0.587
42231558;1.0;0;1.0
42236559;0.587;0;0.587
42237560;0.961;0;0.961
42252565;0.651;0;0.651
42252566;0.333;0;0.333
42255567;0.993;0;0.993
42257568;1.0;0;1.0
42258568;0.12;0;0.12
42261569;1.0;0;1.0
42262569;0.931;0;0.931
42263570;0.215;0;0.215
42265570;0.945;0;0.945
42266571;0.702;0;0.702
42267571;0.363;0;0.363
42268571;1.0;0;1.0
42275573;0.563;0;0.563
42276573;0.134;0;0.134
42287576;0.571;0;0.571
42293578;0.163;0;0.163
42294578;0.95;0;0.95
42297579;1.0;0;1.0
42329561;0.825;0;0.825
42330561;0.546;0;0.546
42338588;1.0;0;1.0
42357592;1.0;0;1.0
42358592;1.0;0;1.0
42360592;0.976;0;0.976
42372571;0.858;0;0.858
42375597;1.0;0;1.0
42376597;1.0;0;1.0
42383599;0.652;0;0.652
42384600;0.622;0;0.622
42397603;0.266;0;0.266
42400604;0.31;0;0.31
42401604;1.0;0;1.0
42402604;0.881;0;0.881
42403605;0.993;0;0.993
42405605;0.806;0;0.806
42406605;1.0;0;1.0
42409606;1.0;0;1.0
42410606;0.852;0;0.852
42418608;1.0;0;1.0
42419582;0.925;0;0.925
42419608;0.636;0;0.636
42421582;1.0;0;1.0
42422582;0.253;0;0.253
42424609;0.671;0;0.671
42427609;1.0;0;1.0
42438610;0.668;0;0.668
42439610;0.333;0;0.333
42450620;1.0;0;1.0
42451619;1.0;0;1.0
42459605;0.802;0;0.802
42462606;1.0;0;1.0
42481609;0.313;0;0.313
42481610;0.759;0;0.759
42483610;1.0;0;1.0
42516618;1.0;0;1.0
42517618;1.0;0;1.0
42522620;1.0;0;1.0
42539623;1.0;0;1.0
42540623;0.997;0;0.997
42550624;0.115;0;0.115
42560625;0.333;0;0.333
42563625;1.0;0;1.0
42570625;1.0;0;1.0
42587624;0.577;0;0.577
42602621;0.478;0;0.478
42615598;0.587;0;0.587
42634623;0.184;0;0.184
42646623;0.656;0;0.656
42647623;0.397;0;0.397
42648598;0.819;0;0.819
42649598;0.441;0;0.441
42660624;1.0;0;1.0
42666625;0.371;0;0.371
42670625;1.0;0;1.0
42671625;1.0;0;1.0
42672625;1.0;0;1.0
42682600;0.198;0;0.198
42687626;1.0;0;1.0
42689601;1.0;0;1.0
42689626;1.0;0;1.0
42690601;0.872;0;0.872
42704629;1.0;0;1.0
42707629;1.0;0;1.0
42725605;1.0;0;1.0
42754636;0.846;0;0.846
42755636;1.0;0;1.0
42759636;0.908;0;0.908
42760636;0.142;0;0.142
42761636;0.172;0;0.172
42785638;0.555;0;0.555
42786638;0.113;0;0.113
42788638;1.0;0;1.0
42805638;0.166;0;0.166
42810638;0.238;0;0.238
42816638;0.218;0;0.218
42822637;1.0;0;1.0
42830635;0.887;0;0.887
42832635;0.91;0;0.91
42843634;0.852;0;0.852
42848634;1.0;0;1.0
42853634;0.596;0;0.596
42854634;1.0;0;1.0
42855634;0.186;0;0.186
42857610;1.0;0;1.0
42858610;1.0;0;1.0
42863633;1.0;0;1.0
42870632;1.0;0;1.0
42887628;1.0;0;1.0
42889627;0.333;0;0.333
42891602;0.946;0;0.946
42891626;0.167;0;0.167
42892602;0.206;0;0.206
42894625;1.0;0;1.0
42895624;0.148;0;0.148
42896624;0.439;0;0.439
42897624;0.866;0;0.866
42898623;1.0;0;1.0
42902622;0.137;0;0.137
42907620;0.231;0;0.231
42924415;0.119;0;0.119
42924612;0.188;0;0.188
42925416;1.0;0;1.0
42925587;1.0;0;1.0
42926417;0.628;0;0.628
42927418;0.375;0;0.375
42928418;0.143;0;0.143
42928610;0.889;0;0.889
42937401;0.333;0;0.333
42938402;0.307;0;0.307
42941608;0.333;0;0.333
42941609;0.303;0;0.303
42943428;1.0;0;1.0
42943611;0.226;0;0.226
42944612;0.152;0;0.152
42945613;0.202;0;0.202
42946408;1.0;0;1.0
42947615;1.0;0;1.0
42954588;0.179;0;0.179
42955619;1.0;0;1.0
42956620;1.0;0;1.0
