PT_ID;VAR1;VAR2;VAR3
46000414;0.797;0;0.797
46001358;1.0;1;0.0
46002358;1.0;1;0.0
46002362;0.6;0;0.6
46002400;0.965;0;0.965
46002401;1.0;1;0.0
46003400;1.0;1;0.0
46003401;0.989;0;0.989
46003402;1.0;1;0.0
46003403;1.0;1;0.0
46004354;1.0;0;1.0
46004401;1.0;0;1.0
46004402;0.941;0;0.941
46004403;0.72;0;0.72
46005401;1.0;1;0.0
46006395;1.0;1;0.0
46011402;0.787;0;0.787
46012364;1.0;0;1.0
46012366;0.535;0;0.535
46012401;0.343;0;0.343
46013365;1.0;0;1.0
46014363;1.0;1;0.0
46014366;1.0;0;1.0
46015363;1.0;1;0.0
46015386;1.0;1;0.0
46015398;1.0;0;1.0
46016363;1.0;0;1.0
46016386;1.0;1;0.0
46016387;0.754;0;0.754
46017362;1.0;1;0.0
46017385;0.797;0;0.797
46017386;0.782;0;0.782
46017387;0.86;0;0.86
46017388;1.0;0;1.0
46017395;1.0;0;1.0
46018384;1.0;0;1.0
46018385;0.405;0;0.405
46018386;0.442;0;0.442
46018388;0.792;0;0.792
46018389;0.944;0;0.944
46018390;0.816;0;0.816
46018391;0.852;1;0.0
46018395;1.0;1;0.0
46018396;0.867;1;0.0
46019365;1.0;1;0.0
46019383;1.0;1;0.0
46019386;0.413;0;0.413
46019387;0.68;0;0.68
46019388;0.698;0;0.698
46019389;0.794;0;0.794
46020363;0.742;0;0.742
46020367;0.916;0;0.916
46020383;0.469;0;0.469
46020387;0.385;0;0.385
46020388;0.618;0;0.618
46020393;0.585;1;0.0
46021382;0.624;0;0.624
46021383;0.707;0;0.707
46021384;0.457;0;0.457
46021385;0.458;0;0.458
46021393;0.477;0;0.477
46022381;0.892;0;0.892
46022382;0.423;0;0.423
46022383;0.478;0;0.478
46022386;0.453;0;0.453
46022393;1.0;1;0.0
46022487;1.0;0;1.0
46023367;0.715;0;0.715
46023381;0.41;0;0.41
46023382;0.523;0;0.523
46023383;0.383;0;0.383
46023384;0.341;0;0.341
46023385;0.481;0;0.481
46024366;0.944;1;0.0
46024368;0.779;0;0.779
46024383;0.411;0;0.411
46024384;0.382;0;0.382
46024385;0.388;0;0.388
46024386;0.377;0;0.377
46024387;0.913;0;0.913
46024388;0.709;0;0.709
46024389;0.688;0;0.688
46025379;0.822;0;0.822
46025385;0.383;0;0.383
46025386;0.567;0;0.567
46025387;0.747;0;0.747
46025388;1.0;1;0.0
46025389;0.791;0;0.791
46025390;0.645;0;0.645
46026385;0.57;0;0.57
46026386;0.563;0;0.563
46026388;1.0;1;0.0
46026389;1.0;1;0.0
46027378;1.0;1;0.0
46027387;0.554;0;0.554
46027388;0.596;0;0.596
46027389;0.81;0;0.81
46028378;0.745;0;0.745
46028388;0.365;0;0.365
46029378;1.0;0;1.0
46029379;0.889;0;0.889
46029380;0.34;0;0.34
46029384;0.791;0;0.791
46029385;0.721;0;0.721
46029386;0.44;0;0.44
46029388;0.435;0;0.435
46030379;0.416;1;0.0
46030380;0.851;0;0.851
46030382;0.53;0;0.53
46030384;1.0;1;0.0
46030385;1.0;1;0.0
46030386;0.586;0;0.586
46030387;0.549;0;0.549
46031385;1.0;1;0.0
46031386;1.0;1;0.0
46034376;0.66;0;0.66
46035375;1.0;1;0.0
46035385;0.473;1;0.0
46036384;0.945;1;0.0
46036385;0.875;1;0.0
46037384;0.768;1;0.0
46037385;1.0;1;0.0
46037386;0.984;0;0.984
46038376;0.437;1;0.0
46039376;0.518;0;0.518
46039383;0.637;1;0.0
46040376;0.62;1;0.0
46040377;0.823;0;0.823
46040381;0.433;0;0.433
46040382;0.881;1;0.0
46040383;0.881;1;0.0
46040384;0.935;1;0.0
46041376;0.949;1;0.0
46041377;0.754;0;0.754
46041378;0.68;0;0.68
46041379;0.705;0;0.705
46041381;0.752;0;0.752
46041382;1.0;1;0.0
46041383;1.0;1;0.0
46041384;0.845;1;0.0
46042376;1.0;0;1.0
46042382;0.482;0;0.482
46042383;0.668;1;0.0
46042384;1.0;1;0.0
46042385;1.0;1;0.0
46043375;1.0;1;0.0
46043376;1.0;0;1.0
46043382;0.477;0;0.477
46043383;1.0;0;1.0
46043384;0.956;0;0.956
46044375;1.0;1;0.0
46044376;0.756;0;0.756
46044377;1.0;0;1.0
46044381;0.474;0;0.474
46044382;0.501;0;0.501
46044383;0.501;0;0.501
46044384;1.0;0;1.0
46045375;1.0;0;1.0
46045376;0.468;0;0.468
46045377;0.482;0;0.482
46045378;0.778;0;0.778
46045379;0.901;0;0.901
46045380;0.513;0;0.513
46045381;0.518;0;0.518
46045382;0.668;0;0.668
46045384;0.545;1;0.0
46046379;0.507;0;0.507
46046380;0.692;0;0.692
46046382;0.782;0;0.782
46046383;1.0;0;1.0
46047375;1.0;1;0.0
46047380;0.487;0;0.487
46047381;0.379;0;0.379
46047382;0.596;0;0.596
46047383;0.693;0;0.693
46048375;0.619;0;0.619
46048381;0.41;0;0.41
46048383;1.0;0;1.0
46049375;1.0;1;0.0
46049382;0.513;0;0.513
46050381;0.357;0;0.357
46050382;0.339;0;0.339
46051375;0.519;0;0.519
46053374;0.971;0;0.971
46054374;0.864;0;0.864
46054382;0.539;0;0.539
46055374;0.624;0;0.624
46055380;0.419;0;0.419
46055381;0.425;0;0.425
46055382;0.404;0;0.404
46056374;1.0;0;1.0
46056380;0.601;0;0.601
46056381;0.734;0;0.734
46056382;0.676;0;0.676
46057374;1.0;0;1.0
46057380;0.896;0;0.896
46057381;1.0;0;1.0
46058374;0.582;0;0.582
46058380;0.597;0;0.597
46058381;0.545;0;0.545
46061376;1.0;0;1.0
46062376;0.493;1;0.0
46063376;0.452;1;0.0
46064375;1.0;0;1.0
46064376;1.0;1;0.0
46065375;1.0;1;0.0
46071376;0.819;1;0.0
46071377;1.0;1;0.0
46071378;0.589;0;0.589
46072377;0.793;0;0.793
46075385;0.336;0;0.336
46077379;1.0;1;0.0
46077386;0.729;0;0.729
46078385;0.536;0;0.536
46078386;0.862;0;0.862
46079385;0.683;0;0.683
46080388;0.427;0;0.427
46080389;0.637;1;0.0
46081381;0.962;0;0.962
46081388;0.787;0;0.787
46082387;0.526;0;0.526
46082388;0.651;0;0.651
46082389;0.571;0;0.571
46083387;0.473;0;0.473
46083388;0.502;0;0.502
46083389;0.361;0;0.361
46083390;0.457;0;0.457
46084388;0.459;0;0.459
46084390;0.467;0;0.467
46084391;0.929;0;0.929
46085389;0.353;0;0.353
46085390;0.403;0;0.403
46085392;0.614;0;0.614
46085393;1.0;1;0.0
46086384;1.0;1;0.0
46089395;0.596;0;0.596
46090393;0.42;0;0.42
46090394;0.521;0;0.521
46090395;0.609;0;0.609
46090397;0.994;0;0.994
46091394;0.353;0;0.353
46091395;0.559;0;0.559
46091396;0.439;0;0.439
46092394;0.468;0;0.468
46092395;0.407;0;0.407
46092396;0.365;0;0.365
46092397;0.376;0;0.376
46092398;0.344;0;0.344
46093395;0.351;0;0.351
46093396;0.389;0;0.389
46094396;0.415;0;0.415
46096395;0.762;0;0.762
46102412;1.0;1;0.0
46103406;0.497;1;0.0
46103407;0.812;0;0.812
46103408;0.787;0;0.787
46103413;0.906;0;0.906
46104407;0.899;0;0.899
46104408;0.719;0;0.719
46104409;0.618;0;0.618
46104410;0.675;0;0.675
46104413;0.838;0;0.838
46104414;0.718;0;0.718
46104415;1.0;0;1.0
46105406;0.848;0;0.848
46105410;0.682;0;0.682
46105412;0.771;0;0.771
46105413;0.714;0;0.714
46105414;0.654;0;0.654
46105415;0.707;0;0.707
46105416;0.907;0;0.907
46106410;1.0;0;1.0
46106411;0.732;0;0.732
46106412;0.734;0;0.734
46106416;0.866;0;0.866
46106417;0.948;0;0.948
46107410;0.928;0;0.928
46107411;1.0;0;1.0
46107412;0.788;0;0.788
46107416;0.977;0;0.977
46107417;1.0;0;1.0
46107418;1.0;1;0.0
46107419;0.72;0;0.72
46107420;1.0;1;0.0
46107421;1.0;0;1.0
46108409;0.436;0;0.436
46108410;1.0;0;1.0
46108411;1.0;0;1.0
46108416;1.0;0;1.0
46108417;1.0;0;1.0
46108418;0.878;0;0.878
46108419;0.402;0;0.402
46108421;1.0;0;1.0
46109410;1.0;0;1.0
46109411;1.0;0;1.0
46109412;0.48;1;0.0
46109415;1.0;0;1.0
46109416;1.0;0;1.0
46109417;1.0;1;0.0
46109418;0.571;0;0.571
46109422;1.0;0;1.0
46109424;0.953;1;0.0
46110416;1.0;0;1.0
46110417;0.913;0;0.913
46110418;0.372;0;0.372
46110422;0.444;0;0.444
46110423;1.0;0;1.0
46110425;0.863;0;0.863
46111417;0.419;0;0.419
46111422;0.66;0;0.66
46111424;0.612;0;0.612
46111425;0.822;0;0.822
46111426;0.902;0;0.902
46111427;0.437;1;0.0
46112415;0.927;1;0.0
46112416;1.0;0;1.0
46112421;0.593;0;0.593
46112422;0.436;0;0.436
46112426;0.741;0;0.741
46112427;1.0;0;1.0
46112428;1.0;0;1.0
46113414;1.0;0;1.0
46113415;0.633;0;0.633
46113420;0.335;0;0.335
46113421;0.38;0;0.38
46113428;0.597;0;0.597
46113429;1.0;1;0.0
46114421;0.441;0;0.441
46114430;0.508;1;0.0
46115429;0.514;0;0.514
46115430;1.0;0;1.0
46115431;0.845;1;0.0
46116430;0.58;0;0.58
46116431;0.636;0;0.636
46116432;0.761;0;0.761
46117417;0.519;0;0.519
46117431;0.623;0;0.623
46117432;1.0;0;1.0
46117433;0.811;0;0.811
46118431;0.486;0;0.486
46118432;1.0;1;0.0
46118433;0.717;1;0.0
46118434;0.963;0;0.963
46119419;1.0;0;1.0
46119431;0.486;0;0.486
46119432;1.0;0;1.0
46119434;1.0;0;1.0
46119435;1.0;0;1.0
46120420;0.906;0;0.906
46120430;0.905;0;0.905
46120431;1.0;0;1.0
46120432;1.0;1;0.0
46120435;0.914;0;0.914
46120436;1.0;0;1.0
46121421;0.608;0;0.608
46121429;0.874;0;0.874
46121430;0.951;0;0.951
46121431;1.0;1;0.0
46121432;0.909;1;0.0
46121434;0.455;1;0.0
46121435;1.0;0;1.0
46121436;0.587;0;0.587
46122422;0.968;0;0.968
46122430;0.338;0;0.338
46122431;0.971;1;0.0
46122434;1.0;0;1.0
46122435;0.406;0;0.406
46122437;0.391;0;0.391
46123423;1.0;0;1.0
46123431;0.857;0;0.857
46123433;1.0;1;0.0
46123434;0.438;0;0.438
46123435;0.488;0;0.488
46123436;0.485;0;0.485
46123437;0.478;0;0.478
46124433;0.702;0;0.702
46124434;0.44;0;0.44
46124435;0.394;0;0.394
46125426;0.341;0;0.341
46125440;0.758;0;0.758
46126427;0.399;0;0.399
46126441;1.0;0;1.0
46127428;0.657;0;0.657
46128429;0.747;0;0.747
46128442;0.502;0;0.502
46129426;0.504;1;0.0
46129430;0.776;0;0.776
46129434;0.363;0;0.363
46129441;0.833;0;0.833
46129442;1.0;0;1.0
46129443;0.692;1;0.0
46130432;0.48;0;0.48
46130440;0.433;0;0.433
46130441;0.984;0;0.984
46130442;0.564;1;0.0
46130444;0.376;1;0.0
46131432;0.359;0;0.359
46131440;0.662;0;0.662
46131441;1.0;0;1.0
46132428;0.521;1;0.0
46132434;0.345;0;0.345
46132440;0.486;0;0.486
46133433;0.549;1;0.0
46134434;1.0;0;1.0
46135435;0.817;0;0.817
46139448;1.0;0;1.0
46139449;1.0;0;1.0
46140447;1.0;0;1.0
46140448;1.0;0;1.0
46140449;1.0;0;1.0
46140450;1.0;0;1.0
46141448;0.921;0;0.921
46141449;0.915;0;0.915
46141450;0.49;0;0.49
46141451;1.0;0;1.0
46142448;0.92;0;0.92
46142449;0.568;0;0.568
46142450;0.466;0;0.466
46143448;0.92;0;0.92
46143451;0.389;0;0.389
46144448;1.0;0;1.0
46145447;1.0;0;1.0
46145448;0.948;1;0.0
46146448;0.459;0;0.459
46149448;1.0;0;1.0
46151447;0.377;0;0.377
46177441;0.776;0;0.776
46189561;0.429;1;0.0
46191563;1.0;0;1.0
46195565;0.785;1;0.0
46244498;0.944;0;0.944
46245498;1.0;0;1.0
46245499;1.0;0;1.0
46246499;1.0;0;1.0
46247500;1.0;0;1.0
46248500;0.929;1;0.0
46262505;0.786;0;0.786
46404518;1.0;0;1.0
46616570;0.848;0;0.848
46617570;1.0;0;1.0
46618571;1.0;0;1.0
46619572;0.657;0;0.657
46633560;0.347;0;0.347
