PT_ID;VAR1;VAR2;VAR3
45517521;0.686;1;0.0
45518521;0.731;1;0.0
45521520;0.433;1;0.0
45940453;0.731;1;0.0
45942452;1.0;1;0.0
45957428;0.712;1;0.0
45957430;0.677;1;0.0
45958428;0.88;1;0.0
45959425;1.0;1;0.0
45959427;1.0;1;0.0
45960425;0.666;1;0.0
45966418;1.0;1;0.0
45967417;1.0;1;0.0
45968415;1.0;1;0.0
45969414;0.469;1;0.0
45970412;0.627;1;0.0
45970413;0.546;1;0.0
45971411;0.586;1;0.0
45971412;0.806;1;0.0
45975409;1.0;1;0.0
45975410;0.816;1;0.0
45976325;1.0;1;0.0
45977407;1.0;1;0.0
45979317;1.0;1;0.0
45980319;0.749;1;0.0
45980328;1.0;1;0.0
45981328;1.0;1;0.0
