PT_ID;XVAL;YVAL
43000400;639575;5055645
43000401;639585;5055645
43000402;639595;5055645
43000404;639615;5055645
43002404;639615;5055665
43014446;640035;5055785
43016391;639485;5055805
43017380;639375;5055815
43017381;639385;5055815
43017382;639395;5055815
43017383;639405;5055815
43017442;639995;5055815
43018380;639375;5055825
43018383;639405;5055825
43018384;639415;5055825
43018386;639435;5055825
43021379;639365;5055855
43022380;639375;5055865
43023381;639385;5055875
43024380;639375;5055885
43024506;640635;5055885
43025373;639305;5055895
43025374;639315;5055895
43025378;639355;5055895
43025379;639365;5055895
43025382;639395;5055895
43026382;639395;5055905
43027382;639395;5055915
43027383;639405;5055915
43029383;639405;5055935
43029386;639435;5055935
43030389;639465;5055945
43030390;639475;5055945
43031391;639485;5055955
43031392;639495;5055955
43032392;639495;5055965
43034394;639515;5055985
43034395;639525;5055985
43035394;639515;5055995
43035396;639535;5055995
43035504;640615;5055995
43037397;639545;5056015
43038398;639555;5056025
43038503;640605;5056025
43039397;639545;5056035
43039399;639565;5056035
43040401;639585;5056045
43041400;639575;5056055
43041403;639605;5056055
43042404;639615;5056065
43042405;639625;5056065
43043405;639625;5056075
43044408;639655;5056085
43045409;639665;5056095
43046409;639665;5056105
43046501;640585;5056105
43047409;639665;5056115
43047410;639675;5056115
43047501;640585;5056115
43048409;639665;5056125
43048411;639685;5056125
43049409;639665;5056135
43050410;639675;5056145
43050412;639695;5056145
43051410;639675;5056155
43052413;639705;5056165
43053413;639705;5056175
43054413;639705;5056185
43054414;639715;5056185
43054415;639725;5056185
43054499;640565;5056185
43055413;639705;5056195
43055415;639725;5056195
43055416;639735;5056195
43055418;639755;5056195
43055419;639765;5056195
43055499;640565;5056195
43056415;639725;5056205
43057417;639745;5056215
43057498;640555;5056215
43060418;639755;5056245
43061438;639955;5056255
43061439;639965;5056255
43062437;639945;5056265
43062438;639955;5056265
43062439;639965;5056265
43062446;640035;5056265
43062447;640045;5056265
43063437;639945;5056275
43063439;639965;5056275
43063440;639975;5056275
43063447;640045;5056275
43063448;640055;5056275
43063449;640065;5056275
43064437;639945;5056285
43064440;639975;5056285
43064449;640065;5056285
43064450;640075;5056285
43064451;640085;5056285
43065452;640095;5056295
43067491;640485;5056315
43075484;640415;5056395
43106481;640385;5056705
43173456;640135;5057375
43178457;640145;5057425
43184459;640165;5057485
43215503;640605;5057795
43218504;640615;5057825
43225473;640305;5057895
43230510;640675;5057945
43231510;640675;5057955
43237513;640705;5058015
43238513;640705;5058025
43240514;640715;5058045
43241515;640725;5058055
43242515;640725;5058065
43243515;640725;5058075
43245516;640735;5058095
43249480;640375;5058135
43249481;640385;5058135
43250472;640295;5058145
43250481;640385;5058145
43251474;640315;5058155
43251475;640325;5058155
43251480;640375;5058155
43252474;640315;5058165
43252475;640325;5058165
43252476;640335;5058165
43253475;640325;5058175
43253476;640335;5058175
43253477;640345;5058175
43254454;640115;5058185
43254468;640255;5058185
43254470;640275;5058185
43258456;640135;5058225
43258479;640365;5058225
43259457;640145;5058235
43259476;640335;5058235
43259478;640355;5058235
43259479;640365;5058235
43261457;640145;5058255
43265490;640475;5058295
