YEAR;SECT_ID;VALUE;ALT
1925;20;115394.3733;Baseline
1926;20;71407.2;Baseline
1927;20;484529.2933;Baseline
1928;20;91657.65333;Baseline
1929;20;98208.24;Baseline
1930;20;127981.2667;Baseline
1931;20;26721.94667;Baseline
1932;20;25167.22667;Baseline
1933;20;30628.17333;Baseline
1934;20;14569.68;Baseline
1935;20;75642.01333;Baseline
1936;20;34555.57333;Baseline
1937;20;161740.2667;Baseline
1938;20;94999.13333;Baseline
1939;20;69067.08;Baseline
1940;20;111300.44;Baseline
1941;20;5835.093333;Baseline
1942;20;35494.29333;Baseline
1943;20;118455;Baseline
1944;20;21949.65333;Baseline
1945;20;345917.5333;Baseline
1946;20;15607.61333;Baseline
1947;20;873483.9467;Baseline
1948;20;21189.17333;Baseline
1949;20;5161.24;Baseline
1950;20;8289.786667;Baseline
1951;20;24099.97333;Baseline
1952;20;90090.65333;Baseline
1953;20;32991.36;Baseline
1954;20;120579.3733;Baseline
1955;20;17797.10667;Baseline
1956;20;88623.28;Baseline
1957;20;13613.88;Baseline
1958;20;57714.44;Baseline
1959;20;17390.48;Baseline
1960;20;23426.50667;Baseline
1961;20;39961.53333;Baseline
1962;20;20275.68;Baseline
1963;20;22745.96;Baseline
1964;20;8691.013333;Baseline
1965;20;11068.13333;Baseline
1966;20;17042.6;Baseline
1967;20;25568.04;Baseline
1968;20;25505.66667;Baseline
1969;20;95771.38667;Baseline
1970;20;38610.69333;Baseline
1971;20;93626.70667;Baseline
1972;20;264676.2267;Baseline
1973;20;479124.08;Baseline
1974;20;94114.70667;Baseline
1975;20;46918.33333;Baseline
1976;20;290472.6267;Baseline
1977;20;467163.1867;Baseline
1978;20;100636.8667;Baseline
1979;20;41691.32;Baseline
1980;20;8444.506667;Baseline
1981;20;237081.6933;Baseline
1982;20;30916.85333;Baseline
1983;20;255439.2933;Baseline
1984;20;211927.3467;Baseline
1985;20;16676.10667;Baseline
1986;20;47339.54667;Baseline
1987;20;18048.29333;Baseline
1988;20;11909.18667;Baseline
1989;20;51950.90667;Baseline
1990;20;194021.12;Baseline
1991;20;12377.36;Baseline
1992;20;16632.49333;Baseline
1993;20;54247.92;Baseline
1994;20;87878.72;Baseline
1995;20;94255.38667;Baseline
1996;20;244027.48;Baseline
1997;20;32358.50667;Baseline
1998;20;474849.5467;Baseline
1999;20;21117.36;Baseline
2000;20;124661.96;Baseline
2001;20;36095.29333;Baseline
2002;20;226247.1733;Baseline
2003;20;154669.8533;Baseline
2004;20;211404;Baseline
2005;20;311030.2;Baseline
2006;20;468819.04;Baseline
2007;20;39944.44;Baseline
2008;20;399642.76;Baseline
2009;20;106523.8;Baseline
2010;20;185592.1067;Baseline
2011;20;715729.52;Baseline
2012;20;16365.41333;Baseline
2013;20;812144.2667;Baseline
2014;20;121262.16;Baseline
2015;20;295101.3067;Baseline
2016;20;8542.32;Baseline
2017;20;277213.64;Baseline
1925;12;57697.18667;Alt_1
1926;12;35703.6;Alt_1
1927;12;242264.6467;Alt_1
1928;12;45828.82667;Alt_1
1929;12;49104.12;Alt_1
1930;12;63990.63333;Alt_1
1931;12;13360.97333;Alt_1
1932;12;12583.61333;Alt_1
1933;12;15314.08667;Alt_1
1934;12;7284.84;Alt_1
1935;12;37821.00667;Alt_1
1936;12;17277.78667;Alt_1
1937;12;80870.13333;Alt_1
1938;12;47499.56667;Alt_1
1939;12;34533.54;Alt_1
1940;12;55650.22;Alt_1
1941;12;2917.546667;Alt_1
1942;12;17747.14667;Alt_1
1943;12;59227.5;Alt_1
1944;12;10974.82667;Alt_1
1945;12;172958.7667;Alt_1
1946;12;7803.806667;Alt_1
1947;12;436741.9733;Alt_1
1948;12;10594.58667;Alt_1
1949;12;2580.62;Alt_1
1950;12;4144.893333;Alt_1
1951;12;12049.98667;Alt_1
1952;12;45045.32667;Alt_1
1953;12;16495.68;Alt_1
1954;12;60289.68667;Alt_1
1955;12;8898.553333;Alt_1
1956;12;44311.64;Alt_1
1957;12;6806.94;Alt_1
1958;12;28857.22;Alt_1
1959;12;8695.24;Alt_1
1960;12;11713.25333;Alt_1
1961;12;19980.76667;Alt_1
1962;12;10137.84;Alt_1
1963;12;11372.98;Alt_1
1964;12;4345.506667;Alt_1
1965;12;5534.066667;Alt_1
1966;12;8521.3;Alt_1
1967;12;12784.02;Alt_1
1968;12;12752.83333;Alt_1
1969;12;47885.69333;Alt_1
1970;12;19305.34667;Alt_1
1971;12;46813.35333;Alt_1
1972;12;132338.1133;Alt_1
1973;12;239562.04;Alt_1
1974;12;47057.35333;Alt_1
1975;12;23459.16667;Alt_1
1976;12;145236.3133;Alt_1
1977;12;233581.5933;Alt_1
1978;12;50318.43333;Alt_1
1979;12;20845.66;Alt_1
1980;12;4222.253333;Alt_1
1981;12;118540.8467;Alt_1
1982;12;15458.42667;Alt_1
1983;12;127719.6467;Alt_1
1984;12;105963.6733;Alt_1
1985;12;8338.053333;Alt_1
1986;12;23669.77333;Alt_1
1987;12;9024.146667;Alt_1
1988;12;5954.593333;Alt_1
1989;12;25975.45333;Alt_1
1990;12;97010.56;Alt_1
1991;12;6188.68;Alt_1
1992;12;8316.246667;Alt_1
1993;12;27123.96;Alt_1
1994;12;43939.36;Alt_1
1995;12;47127.69333;Alt_1
1996;12;122013.74;Alt_1
1997;12;16179.25333;Alt_1
1998;12;237424.7733;Alt_1
1999;12;10558.68;Alt_1
2000;12;62330.98;Alt_1
2001;12;18047.64667;Alt_1
2002;12;113123.5867;Alt_1
2003;12;77334.92667;Alt_1
2004;12;105702;Alt_1
2005;12;155515.1;Alt_1
2006;12;234409.52;Alt_1
2007;12;19972.22;Alt_1
2008;12;199821.38;Alt_1
2009;12;53261.9;Alt_1
2010;12;92796.05333;Alt_1
2011;12;357864.76;Alt_1
2012;12;8182.706667;Alt_1
2013;12;406072.1333;Alt_1
2014;12;60631.08;Alt_1
2015;12;147550.6533;Alt_1
2016;12;4271.16;Alt_1
2017;12;138606.82;Alt_1
1925;20;57697.18667;Alt_1
1926;20;35703.6;Alt_1
1927;20;242264.6467;Alt_1
1928;20;45828.82667;Alt_1
1929;20;49104.12;Alt_1
1930;20;63990.63333;Alt_1
1931;20;13360.97333;Alt_1
1932;20;12583.61333;Alt_1
1933;20;15314.08667;Alt_1
1934;20;7284.84;Alt_1
1935;20;37821.00667;Alt_1
1936;20;17277.78667;Alt_1
1937;20;80870.13333;Alt_1
1938;20;47499.56667;Alt_1
1939;20;34533.54;Alt_1
1940;20;55650.22;Alt_1
1941;20;2917.546667;Alt_1
1942;20;17747.14667;Alt_1
1943;20;59227.5;Alt_1
1944;20;10974.82667;Alt_1
1945;20;172958.7667;Alt_1
1946;20;7803.806667;Alt_1
1947;20;436741.9733;Alt_1
1948;20;10594.58667;Alt_1
1949;20;2580.62;Alt_1
1950;20;4144.893333;Alt_1
1951;20;12049.98667;Alt_1
1952;20;45045.32667;Alt_1
1953;20;16495.68;Alt_1
1954;20;60289.68667;Alt_1
1955;20;8898.553333;Alt_1
1956;20;44311.64;Alt_1
1957;20;6806.94;Alt_1
1958;20;28857.22;Alt_1
1959;20;8695.24;Alt_1
1960;20;11713.25333;Alt_1
1961;20;19980.76667;Alt_1
1962;20;10137.84;Alt_1
1963;20;11372.98;Alt_1
1964;20;4345.506667;Alt_1
1965;20;5534.066667;Alt_1
1966;20;8521.3;Alt_1
1967;20;12784.02;Alt_1
1968;20;12752.83333;Alt_1
1969;20;47885.69333;Alt_1
1970;20;19305.34667;Alt_1
1971;20;46813.35333;Alt_1
1972;20;132338.1133;Alt_1
1973;20;239562.04;Alt_1
1974;20;47057.35333;Alt_1
1975;20;23459.16667;Alt_1
1976;20;145236.3133;Alt_1
1977;20;233581.5933;Alt_1
1978;20;50318.43333;Alt_1
1979;20;20845.66;Alt_1
1980;20;4222.253333;Alt_1
1981;20;118540.8467;Alt_1
1982;20;15458.42667;Alt_1
1983;20;127719.6467;Alt_1
1984;20;105963.6733;Alt_1
1985;20;8338.053333;Alt_1
1986;20;23669.77333;Alt_1
1987;20;9024.146667;Alt_1
1988;20;5954.593333;Alt_1
1989;20;25975.45333;Alt_1
1990;20;97010.56;Alt_1
1991;20;6188.68;Alt_1
1992;20;8316.246667;Alt_1
1993;20;27123.96;Alt_1
1994;20;43939.36;Alt_1
1995;20;47127.69333;Alt_1
1996;20;122013.74;Alt_1
1997;20;16179.25333;Alt_1
1998;20;237424.7733;Alt_1
1999;20;10558.68;Alt_1
2000;20;62330.98;Alt_1
2001;20;18047.64667;Alt_1
2002;20;113123.5867;Alt_1
2003;20;77334.92667;Alt_1
2004;20;105702;Alt_1
2005;20;155515.1;Alt_1
2006;20;234409.52;Alt_1
2007;20;19972.22;Alt_1
2008;20;199821.38;Alt_1
2009;20;53261.9;Alt_1
2010;20;92796.05333;Alt_1
2011;20;357864.76;Alt_1
2012;20;8182.706667;Alt_1
2013;20;406072.1333;Alt_1
2014;20;60631.08;Alt_1
2015;20;147550.6533;Alt_1
2016;20;4271.16;Alt_1
2017;20;138606.82;Alt_1
1925;12;57697.18667;Alt_2
1926;12;35703.6;Alt_2
1927;12;242264.6467;Alt_2
1928;12;45828.82667;Alt_2
1929;12;49104.12;Alt_2
1930;12;63990.63333;Alt_2
1931;12;13360.97333;Alt_2
1932;12;12583.61333;Alt_2
1933;12;15314.08667;Alt_2
1934;12;7284.84;Alt_2
1935;12;37821.00667;Alt_2
1936;12;17277.78667;Alt_2
1937;12;80870.13333;Alt_2
1938;12;47499.56667;Alt_2
1939;12;34533.54;Alt_2
1940;12;55650.22;Alt_2
1941;12;2917.546667;Alt_2
1942;12;17747.14667;Alt_2
1943;12;59227.5;Alt_2
1944;12;10974.82667;Alt_2
1945;12;172958.7667;Alt_2
1946;12;7803.806667;Alt_2
1947;12;436741.9733;Alt_2
1948;12;10594.58667;Alt_2
1949;12;2580.62;Alt_2
1950;12;4144.893333;Alt_2
1951;12;12049.98667;Alt_2
1952;12;45045.32667;Alt_2
1953;12;16495.68;Alt_2
1954;12;60289.68667;Alt_2
1955;12;8898.553333;Alt_2
1956;12;44311.64;Alt_2
1957;12;6806.94;Alt_2
1958;12;28857.22;Alt_2
1959;12;8695.24;Alt_2
1960;12;11713.25333;Alt_2
1961;12;19980.76667;Alt_2
1962;12;10137.84;Alt_2
1963;12;11372.98;Alt_2
1964;12;4345.506667;Alt_2
